0.01	1	0	933.7	1
0.02	1218.9	0.08889	118.9	0.91111
0.03	506.9	0.20811	133.2	0.79189
0.04	423.5	0.25153	142.3	0.74847
0.05	386.7	0.27719	148.3	0.72281
0.06	144.5	0.5133	152.4	0.4867
0.07	93.77	0.62351	155.3	0.37649
0.08	79.17	0.66505	157.2	0.33495
0.09	70.76	0.69133	158.5	0.30867
0.1	66.36	0.70589	159.3	0.2479
0.15	54.07	0.74598	158.8	0.29411
0.2	48.2	0.76275	154.9	0.25402
0.3	41.15	0.77844	144.6	0.23725
0.4	36.38	0.78629	133.8	0.22156
0.5	32.72	0.79105	123.9	0.21371
0.6	29.73	0.79436	114.8	0.20895
0.7	27.22	0.79884	106.8	0.20564
0.8	25.08	0.79872	99.54	0.20316
0.9	23.22	0.8003	93.07	0.20128
1	24.82	0.80154	100.24	0.19846
1.5	18.32	0.80584	76.05	0.19413
2	14.8	0.80825	62.38	0.19176
2.5	22.84	0.80983	97.28	0.19017
3	15.94	0.81097	68.38	0.18903
3.5	20.9	0.81186	90.17	0.18814
4	26.95	0.81244	116.72	0.18756
4.5	30.71	0.81299	133.5	0.18701
5	32.02	0.81342	139.61	0.18658
